species,name,HSG,singleton,HSG name
326329,Polaribacter dokdonensis,52959:5,True,Polaribacter:HSG5
996801,Polaribacter reichenbachii,52959:9,True,Polaribacter:HSG9
1354726,Polaribacter huanghezhanensis,52959:7,True,Polaribacter:HSG7
1574269,Polaribacter undariae,52959:6,True,Polaribacter:HSG6
1774273,Polaribacter vadi,52959:8,True,Polaribacter:HSG8
1888915,Polaribacter haliotis,52959:3,True,Polaribacter:HSG3
1908341,Polaribacter litorisediminis,52959:2,True,Polaribacter:HSG2
2738844,Polaribacter pectinis,52959:4,True,Polaribacter:HSG4
2808900,Polaribacter batillariae,52959:1,True,Polaribacter:HSG1
2818493,Polaribacter cellanae,52959:0,True,Polaribacter:HSG0
160791,Rhizorhabdus wittichii,1649486:2,True,Rhizorhabdus:HSG2
1850238,Rhizorhabdus dicambivorans,1649486:1,True,Rhizorhabdus:HSG1
2711156,Rhizorhabdus phycosphaerae,1649486:0,True,Rhizorhabdus:HSG0
2096,Mycoplasmoides gallisepticum,2995234:2,True,Mycoplasmoides:HSG2
2097,Mycoplasmoides genitalium,2995234:3,True,Mycoplasmoides:HSG3
2104,Mycoplasmoides pneumoniae,2995234:1,True,Mycoplasmoides:HSG1
92758,Mycoplasmoides fastidiosum,2995234:0,True,Mycoplasmoides:HSG0
2169400,Gemmobacter aquarius,204456:1,True,Gemmobacter:HSG1
2840474,Gemmobacter fulvus,204456:0,True,Gemmobacter:HSG0
2419774,Protaetiibacter intestinalis,2680004:1,True,Protaetiibacter:HSG1
2592654,Protaetiibacter larvae,2680004:0,True,Protaetiibacter:HSG0
1208324,Celeribacter indicus,875170:2,True,Celeribacter:HSG2
1397108,Celeribacter marinus,875170:1,True,Celeribacter:HSG1
1758178,Celeribacter ethanolicus,875170:0,True,Celeribacter:HSG0
133926,Olsenella uli,133925:1,True,Olsenella:HSG1
1805478,Olsenella timonensis,133925:0,True,Olsenella:HSG0
1642647,Proteiniphilum saccharofermentans,294702:1,True,Proteiniphilum:HSG1
2829812,Proteiniphilum propionicum,294702:0,True,Proteiniphilum:HSG0
668,Aliivibrio fischeri,511678:1,True,Aliivibrio:HSG1
40269,Aliivibrio salmonicida,511678:0,True,Aliivibrio:HSG0
502682,Aurantiacibacter gangjinensis,2800681:1,True,Aurantiacibacter:HSG1
1648404,Aurantiacibacter atlanticus,2800681:0,True,Aurantiacibacter:HSG0
90244,Oligella ureolytica,90243:1,True,Oligella:HSG1
90245,Oligella urethralis,90243:0,True,Oligella:HSG0
